,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
2,1600000US0224230,region.place,2013,40905,26021,44704,32442,30540,52153,60682,32525,27150,41066,2.4,16.8,1.6,19.3,19.9,16.5,7.0,10.7,5.8,Fairbanks,AK
4,1600000US0240645,region.place,2013,44543,27866,69483,53607,42463,65625,69740,44208,36364,47100,2.5,8.0,2.1,9.3,18.9,17.3,10.7,18.8,12.4,Knik-Fairview,AK
5,1600000US0216750,region.place,2013,39173,21768,61667,35159,27936,34803,51960,34375,20851,36313,1.5,8.4,0.5,20.1,19.5,14.4,8.5,16.1,11.0,College,AK
6,1600000US0275077,region.place,2013,42608,30913,62321,52821,39889,44219,77000,43587,28250,42316,1.9,4.7,0.3,13.2,26.0,18.4,6.5,14.5,14.5,Tanaina,AK
7,1600000US0242832,region.place,2013,44719,33594,61910,52512,43254,63796,63333,38378,22885,43227,2.8,5.6,1.2,11.6,19.9,22.3,4.5,16.0,16.1,Lakes,AK
9,1600000US0237250,region.place,2013,37297,30063,62778,58806,42089,67375,60350,38198,53594,45212,4.2,5.4,0.0,13.1,19.7,25.6,7.7,13.3,11.0,Kalifornsky,AK
13,1600000US0247735,region.place,2013,37383,17005,52097,41658,30054,40920,76786,37250,15393,53389,8.8,13.1,1.4,14.5,15.8,15.4,8.7,10.7,11.6,Meadow Lakes,AK
17,1600000US0206520,region.place,2013,49773,36991,70625,41734,38402,78071,77845,29467,11930,56827,1.7,9.1,0.8,12.7,20.6,14.5,4.3,23.4,12.9,Bethel,AK
21,1600000US0233140,region.place,2013,36953,22621,51429,39598,30914,40192,56250,32610,31964,33209,6.3,10.8,1.4,21.4,14.0,16.1,9.0,10.8,10.2,Homer,AK
23,1600000US0254050,region.place,2013,36321,19157,63571,55132,34341,55781,83816,52589,27868,31475,2.4,6.8,7.2,12.2,18.1,19.1,4.6,13.0,16.6,Nikiski,AK
26,1600000US0271640,region.place,2013,37000,22917,60521,37892,28761,48512,65625,29063,21307,33516,5.0,15.4,0.4,16.4,15.9,17.9,11.5,8.2,9.3,Soldotna,AK
27,1600000US0207070,region.place,2013,33333,22647,53750,36563,28042,59000,51875,40761,17750,27315,1.2,10.8,4.8,18.1,15.1,19.0,6.6,16.5,7.9,Big Lake,AK
28,1600000US0282200,region.place,2013,40069,28902,64342,48581,36691,32500,82750,49722,13113,43590,4.2,2.1,0.7,19.1,26.8,9.4,7.7,14.8,15.2,Valdez,AK
29,1600000US0224980,region.place,2013,53395,40568,79506,60726,52862,59038,81518,54474,0,43482,1.4,2.6,1.7,10.4,12.4,24.8,5.9,20.1,20.7,Farmers Loop,AK
31,1600000US0229130,region.place,2013,78906,37364,75382,46513,44667,47583,78520,17071,0,45000,2.8,2.6,0.0,8.3,24.3,2.8,5.2,30.2,23.8,Goldstream,AK
34,1600000US0260310,region.place,2013,32292,24375,58387,38625,29083,44167,53125,38704,21346,27829,3.4,15.7,2.8,16.1,13.7,20.2,6.0,16.6,5.5,Petersburg,AK
37,1600000US0217410,region.place,2013,50862,38051,85068,40556,39121,77866,65417,40833,35595,38906,0.1,0.0,0.0,9.4,20.9,14.0,8.1,26.9,20.6,Cordova,AK
39,1600000US0286380,region.place,2013,31413,26772,46364,32219,29044,31167,95375,30769,43333,31020,9.2,10.8,0.8,24.0,24.3,8.9,2.7,11.7,7.6,Wrangell,AK
41,1600000US0265345,region.place,2013,40833,31528,64792,49696,44423,40500,50938,53125,16111,52266,2.0,11.4,1.6,12.1,24.0,11.5,3.0,13.8,20.6,Ridgeway,AK
44,1600000US0264380,region.place,2013,37875,32147,100061,95167,90544,101532,66429,84226,71458,95987,1.5,1.9,0.0,7.6,6.8,10.1,8.9,20.7,42.5,Prudhoe Bay,AK
45,1600000US0231050,region.place,2013,32273,25481,39091,34000,30265,31786,36094,27214,0,32083,10.3,15.5,3.7,13.5,26.8,8.8,4.7,10.0,6.7,Haines,AK
46,1600000US0205585,region.place,2013,44952,23103,56055,33545,31858,51625,30150,36556,32885,33438,0.0,0.0,3.6,20.5,14.5,27.5,7.7,13.2,13.0,Bear Creek,AK
50,1600000US0227090,region.place,2013,35000,27237,50682,38264,31530,38824,55313,25764,43750,32000,2.2,9.4,2.6,19.0,29.3,15.9,8.3,7.2,6.1,Fritz Creek,AK
61,1600000US0233470,region.place,2013,31875,10833,34000,10357,10682,38125,0,12422,8750,15972,7.4,32.6,0.0,12.6,13.7,31.6,0.0,2.1,0.0,Hooper Bay,AK
63,1600000US0232150,region.place,2013,43650,22667,85429,80750,42903,43681,80208,76429,4699,50250,1.9,1.7,5.7,7.2,19.1,7.6,8.8,23.9,24.1,Healy,AK
67,1600000US0218925,region.place,2013,33173,27634,52206,49250,33558,27500,56875,29598,14583,41118,0.0,6.1,4.2,27.8,17.5,14.8,7.6,12.9,9.1,Diamond Ridge,AK
68,1600000US0218620,region.place,2013,47734,38333,69583,51250,47422,45804,62500,43125,0,44500,0.0,5.4,2.9,5.4,32.7,13.3,6.8,18.0,15.5,Delta Junction,AK
71,1600000US0209657,region.place,2013,41477,26103,53958,48077,37596,48077,87292,65750,32875,25417,5.1,11.7,0.0,14.0,20.6,13.2,10.5,11.7,13.2,Buffalo Soapstone,AK
78,1600000US0285680,region.place,2013,50417,25192,62692,47955,31136,87647,44063,21912,0,36964,0.0,0.0,9.0,6.2,22.1,30.8,7.3,21.1,3.5,Womens Bay,AK
79,1600000US0251180,region.place,2013,29375,18500,36875,15769,16667,51250,0,16154,8750,25208,6.6,9.2,5.3,35.5,32.9,10.5,0.0,0.0,0.0,Mountain Village,AK
83,1600000US0240670,region.place,2013,31875,18125,65000,39500,25350,67625,61250,32188,40227,24219,0.0,14.5,0.0,12.8,18.6,9.9,8.7,21.5,14.0,Knik River,AK
85,1600000US0242380,region.place,2013,23750,18125,34028,18942,18750,16667,0,21250,15938,25156,4.9,29.5,0.0,29.5,8.2,8.2,3.3,8.2,8.2,Kwethluk,AK
87,1600000US0254480,region.place,2013,45385,30625,46875,26635,27269,37829,54688,23333,0,25729,0.0,7.7,0.0,20.8,39.2,20.0,0.0,10.0,2.3,Ninilchik,AK
88,1600000US0268230,region.place,2013,36250,10536,43750,11063,10926,0,0,13333,10795,23750,4.0,0.0,12.0,32.0,24.0,20.0,0.0,0.0,8.0,Selawik,AK
89,1600000US0255140,region.place,2013,36563,16771,51875,15000,16635,78036,0,20192,10938,29688,3.3,21.7,0.0,16.7,8.3,13.3,3.3,26.7,6.7,Noorvik,AK
90,1600000US0226910,region.place,2013,0,9875,25417,26042,24405,22083,0,24375,42000,8875,0.0,46.7,0.0,40.0,0.0,0.0,0.0,0.0,13.3,Fox River,AK
92,1600000US0201200,region.place,2013,18750,7102,27500,7500,7270,52813,0,10795,9375,21667,19.1,25.5,6.4,8.5,27.7,4.3,2.1,0.0,6.4,Alakanuk,AK
93,1600000US0278240,region.place,2013,41875,16818,38333,16429,16600,45833,0,15000,18750,31875,0.0,13.5,2.7,21.6,29.7,6.8,13.5,9.5,2.7,Toksook Bay,AK
96,1600000US0226870,region.place,2013,0,30600,42232,41071,34239,41161,0,0,0,53438,0.0,0.0,0.0,38.3,10.1,0.0,18.4,30.0,3.2,Fox,AK
98,1600000US0269770,region.place,2013,41875,12917,40625,12708,12833,0,0,11250,28250,22500,8.7,6.5,6.5,19.6,17.4,23.9,17.4,0.0,0.0,Shishmaref,AK
100,1600000US0240400,region.place,2013,27292,20000,58958,40521,25859,49375,50313,25893,13438,40417,0.0,16.9,2.0,14.2,17.6,27.7,14.2,5.4,2.0,Klawock,AK
103,1600000US0264600,region.place,2013,44167,11667,40000,11058,11307,0,0,13611,7417,11875,7.5,10.0,0.0,10.0,50.0,12.5,0.0,10.0,0.0,Quinhagak,AK
106,1600000US0231710,region.place,2013,35250,16563,36750,29167,19531,19063,0,11389,0,33828,2.2,5.9,15.4,23.5,18.4,17.6,0.0,9.6,7.4,Happy Valley,AK
112,1600000US0203550,region.place,2013,38264,29688,42917,34583,33375,65938,73750,31250,16875,39306,6.8,11.1,3.4,13.7,36.8,13.7,5.1,9.4,0.0,Aniak,AK
116,1600000US0237975,region.place,2013,22083,12273,17031,15089,12917,0,0,14375,4464,18750,16.7,33.3,9.5,4.8,16.7,19.0,0.0,0.0,0.0,Kasigluk,AK
119,1600000US0226760,region.place,2013,42708,32917,66563,21833,28594,61667,84583,21477,21094,31719,6.6,16.0,1.9,13.2,17.0,18.9,9.4,3.8,13.2,Fort Yukon,AK
